37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:28:11.0 (126424)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
11:28:11.0 (696532)|HEAP_ALLOCATE|[72]|Bytes:3
11:28:11.0 (784263)|HEAP_ALLOCATE|[77]|Bytes:152
11:28:11.0 (830246)|HEAP_ALLOCATE|[342]|Bytes:408
11:28:11.0 (860541)|HEAP_ALLOCATE|[355]|Bytes:408
11:28:11.0 (880107)|HEAP_ALLOCATE|[467]|Bytes:48
11:28:11.2 (2817159)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
11:28:11.2 (3099213)|STATEMENT_EXECUTE|[1]
11:28:11.2 (3140143)|HEAP_ALLOCATE|[50]|Bytes:5
11:28:11.2 (3168221)|HEAP_ALLOCATE|[56]|Bytes:5
11:28:11.2 (3178182)|HEAP_ALLOCATE|[64]|Bytes:7
11:28:11.2 (3208393)|SYSTEM_MODE_ENTER|false
11:28:11.2 (3233535)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:28:11.2 (3244854)|SYSTEM_MODE_EXIT|false
11:28:11.2 (3264951)|METHOD_EXIT|[1]|InterviewsLCServerController
11:28:11.2 (3271688)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
11:28:11.2 (3273900)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
11:28:11.2 (3281133)|SYSTEM_MODE_ENTER|false
11:28:11.2 (3300432)|VARIABLE_SCOPE_BEGIN|[19]|rowsLimit|String|false|false
11:28:11.2 (3333665)|VARIABLE_ASSIGNMENT|[19]|rowsLimit|"8"
11:28:11.2 (3341699)|VARIABLE_SCOPE_BEGIN|[19]|objectApiName|String|false|false
11:28:11.2 (3348299)|VARIABLE_ASSIGNMENT|[19]|objectApiName|"Account"
11:28:11.2 (3353347)|VARIABLE_SCOPE_BEGIN|[19]|eventField|String|false|false
11:28:11.2 (3361834)|VARIABLE_ASSIGNMENT|[19]|eventField|null
11:28:11.2 (3366878)|VARIABLE_SCOPE_BEGIN|[19]|column1|String|false|false
11:28:11.2 (3371639)|VARIABLE_ASSIGNMENT|[19]|column1|null
11:28:11.2 (3376259)|VARIABLE_SCOPE_BEGIN|[19]|column2|String|false|false
11:28:11.2 (3380748)|VARIABLE_ASSIGNMENT|[19]|column2|null
11:28:11.2 (3385072)|VARIABLE_SCOPE_BEGIN|[19]|column3|String|false|false
11:28:11.2 (3389425)|VARIABLE_ASSIGNMENT|[19]|column3|null
11:28:11.2 (3393635)|VARIABLE_SCOPE_BEGIN|[19]|column4|String|false|false
11:28:11.2 (3397861)|VARIABLE_ASSIGNMENT|[19]|column4|null
11:28:11.2 (3412753)|HEAP_ALLOCATE|[21]|Bytes:5
11:28:11.2 (3417020)|STATEMENT_EXECUTE|[19]
11:28:11.2 (3418700)|STATEMENT_EXECUTE|[21]
11:28:11.2 (3422271)|HEAP_ALLOCATE|[21]|Bytes:20
11:28:11.2 (3438947)|HEAP_ALLOCATE|[21]|Bytes:21
11:28:11.2 (3483119)|ENTERING_MANAGED_PKG|
