38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
13:03:06.0 (107850)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
13:03:06.2 (2467053)|CODE_UNIT_STARTED|[EXTERNAL]|01pB0000000rehC|FilesViewerServerController.getListRecords
13:03:06.2 (2533476)|VARIABLE_SCOPE_BEGIN|[3]|FilesViewerServerController.mapObjectsFields|Map<String,Set<String>>|true|true
13:03:06.2 (2604963)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:172
13:03:06.2 (2613410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
13:03:06.2 (2616590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
13:03:06.2 (2636229)|METHOD_ENTRY|[1]|01pB0000000rehC|FilesViewerServerController.FilesViewerServerController()
13:03:06.2 (2640424)|STATEMENT_EXECUTE|[1]
13:03:06.2 (2644966)|STATEMENT_EXECUTE|[1]
13:03:06.2 (2679600)|HEAP_ALLOCATE|[50]|Bytes:5
13:03:06.2 (2700465)|HEAP_ALLOCATE|[56]|Bytes:5
13:03:06.2 (2709693)|HEAP_ALLOCATE|[64]|Bytes:7
13:03:06.2 (2733806)|SYSTEM_MODE_ENTER|false
13:03:06.2 (2750476)|HEAP_ALLOCATE|[3]|Bytes:5
13:03:06.2 (2754563)|STATEMENT_EXECUTE|[3]
13:03:06.2 (2822522)|VARIABLE_ASSIGNMENT|[3]|FilesViewerServerController.mapObjectsFields|null|
13:03:06.2 (2829103)|SYSTEM_MODE_EXIT|false
13:03:06.2 (2843028)|METHOD_EXIT|[1]|FilesViewerServerController
13:03:06.2 (2848947)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
13:03:06.2 (2851347)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
13:03:06.2 (2856407)|SYSTEM_MODE_ENTER|false
13:03:06.2 (2861563)|VARIABLE_SCOPE_BEGIN|[18]|recordID|String|false|false
13:03:06.2 (2874229)|VARIABLE_ASSIGNMENT|[18]|recordID|"a0MB0000000cQXF"
13:03:06.2 (2876768)|VARIABLE_SCOPE_BEGIN|[18]|rowsLimit|String|false|false
13:03:06.2 (2880637)|VARIABLE_ASSIGNMENT|[18]|rowsLimit|"8"
13:03:06.2 (2892984)|HEAP_ALLOCATE|[20]|Bytes:5
13:03:06.2 (2897288)|STATEMENT_EXECUTE|[18]
13:03:06.2 (2898586)|STATEMENT_EXECUTE|[20]
13:03:06.2 (2901577)|HEAP_ALLOCATE|[20]|Bytes:49
13:03:06.2 (2911842)|HEAP_ALLOCATE|[20]|Bytes:50
