37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
13:23:45.0 (125787)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
13:23:45.0 (717194)|HEAP_ALLOCATE|[72]|Bytes:3
13:23:45.0 (788624)|HEAP_ALLOCATE|[77]|Bytes:152
13:23:45.0 (815033)|HEAP_ALLOCATE|[342]|Bytes:408
13:23:45.0 (834796)|HEAP_ALLOCATE|[355]|Bytes:408
13:23:45.0 (852050)|HEAP_ALLOCATE|[467]|Bytes:48
13:23:45.2 (2963559)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
13:23:45.2 (3204634)|STATEMENT_EXECUTE|[1]
13:23:45.2 (3245974)|HEAP_ALLOCATE|[50]|Bytes:5
13:23:45.2 (3275647)|HEAP_ALLOCATE|[56]|Bytes:5
13:23:45.2 (3284264)|HEAP_ALLOCATE|[64]|Bytes:7
13:23:45.2 (3313902)|SYSTEM_MODE_ENTER|false
13:23:45.2 (3335796)|HEAP_ALLOCATE|[3]|Bytes:5
13:23:45.2 (3340311)|STATEMENT_EXECUTE|[3]
13:23:45.2 (3377931)|VARIABLE_ASSIGNMENT|[3]|InterviewsLCServerController.mapObjectsFields|null|
13:23:45.2 (3388190)|SYSTEM_MODE_EXIT|false
13:23:45.2 (3401616)|METHOD_EXIT|[1]|InterviewsLCServerController
13:23:45.2 (3407450)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
13:23:45.2 (3409569)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
13:23:45.2 (3418233)|SYSTEM_MODE_ENTER|false
13:23:45.2 (3425096)|VARIABLE_SCOPE_BEGIN|[89]|rowsLimit|String|false|false
13:23:45.2 (3435181)|VARIABLE_ASSIGNMENT|[89]|rowsLimit|"8"
13:23:45.2 (3437633)|VARIABLE_SCOPE_BEGIN|[89]|objectApiName|String|false|false
13:23:45.2 (3441188)|VARIABLE_ASSIGNMENT|[89]|objectApiName|"Account"
13:23:45.2 (3443360)|VARIABLE_SCOPE_BEGIN|[89]|filter1Field|String|false|false
13:23:45.2 (3446748)|VARIABLE_ASSIGNMENT|[89]|filter1Field|null
13:23:45.2 (3448959)|VARIABLE_SCOPE_BEGIN|[89]|filter1Value|String|false|false
13:23:45.2 (3451409)|VARIABLE_ASSIGNMENT|[89]|filter1Value|null
13:23:45.2 (3453175)|VARIABLE_SCOPE_BEGIN|[89]|eventField|String|false|false
13:23:45.2 (3455579)|VARIABLE_ASSIGNMENT|[89]|eventField|null
13:23:45.2 (3457595)|VARIABLE_SCOPE_BEGIN|[89]|column1|String|false|false
13:23:45.2 (3460038)|VARIABLE_ASSIGNMENT|[89]|column1|null
13:23:45.2 (3461896)|VARIABLE_SCOPE_BEGIN|[89]|column2|String|false|false
13:23:45.2 (3464042)|VARIABLE_ASSIGNMENT|[89]|column2|null
13:23:45.2 (3465856)|VARIABLE_SCOPE_BEGIN|[89]|column3|String|false|false
13:23:45.2 (3467961)|VARIABLE_ASSIGNMENT|[89]|column3|null
13:23:45.2 (3469783)|VARIABLE_SCOPE_BEGIN|[89]|column4|String|false|false
13:23:45.2 (3472051)|VARIABLE_ASSIGNMENT|[89]|column4|null
13:23:45.2 (3486901)|HEAP_ALLOCATE|[91]|Bytes:5
13:23:45.2 (3491289)|STATEMENT_EXECUTE|[89]
13:23:45.2 (3492791)|STATEMENT_EXECUTE|[91]
13:23:45.2 (3496039)|HEAP_ALLOCATE|[91]|Bytes:20
13:23:45.2 (3512620)|HEAP_ALLOCATE|[91]|Bytes:21
13:23:45.2 (3546477)|ENTERING_MANAGED_PKG|
13:23:45.2 (3588630)|USER_DEBUG|[91]|DEBUG|######## rowsLimit: 8
