37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:13:25.0 (120580)|USER_INFO|[EXTERNAL]|005B00000021dad|elisabeth.brooks@df16recruitment.dev|Pacific Standard Time|GMT-07:00
11:13:25.0 (675564)|HEAP_ALLOCATE|[72]|Bytes:3
11:13:25.0 (744525)|HEAP_ALLOCATE|[77]|Bytes:152
11:13:25.0 (767547)|HEAP_ALLOCATE|[342]|Bytes:408
11:13:25.0 (787079)|HEAP_ALLOCATE|[355]|Bytes:408
11:13:25.0 (804565)|HEAP_ALLOCATE|[467]|Bytes:48
11:13:25.2 (2234830)|USER_INFO|[EXTERNAL]|005B00000021dad|elisabeth.brooks@df16recruitment.dev|Pacific Standard Time|GMT-07:00
11:13:25.2 (2434449)|STATEMENT_EXECUTE|[1]
11:13:25.2 (2476003)|HEAP_ALLOCATE|[50]|Bytes:5
11:13:25.2 (2502996)|HEAP_ALLOCATE|[56]|Bytes:5
11:13:25.2 (2511687)|HEAP_ALLOCATE|[64]|Bytes:7
11:13:25.2 (2548487)|SYSTEM_MODE_ENTER|false
11:13:25.2 (2569887)|HEAP_ALLOCATE|[3]|Bytes:5
11:13:25.2 (2580528)|STATEMENT_EXECUTE|[3]
11:13:25.2 (2612043)|VARIABLE_ASSIGNMENT|[3]|InterviewsLCServerController.mapObjectsFields|null|
11:13:25.2 (2622302)|SYSTEM_MODE_EXIT|false
11:13:25.2 (2635979)|METHOD_EXIT|[1]|InterviewsLCServerController
11:13:25.2 (2642052)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
11:13:25.2 (2644180)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
11:13:25.2 (2652862)|SYSTEM_MODE_ENTER|false
11:13:25.2 (2659217)|VARIABLE_SCOPE_BEGIN|[89]|rowsLimit|String|false|false
11:13:25.2 (2667991)|VARIABLE_ASSIGNMENT|[89]|rowsLimit|"8"
11:13:25.2 (2670501)|VARIABLE_SCOPE_BEGIN|[89]|objectApiName|String|false|false
11:13:25.2 (2673910)|VARIABLE_ASSIGNMENT|[89]|objectApiName|"Account"
11:13:25.2 (2675969)|VARIABLE_SCOPE_BEGIN|[89]|filter1Field|String|false|false
11:13:25.2 (2679207)|VARIABLE_ASSIGNMENT|[89]|filter1Field|null
11:13:25.2 (2681196)|VARIABLE_SCOPE_BEGIN|[89]|filter1Value|String|false|false
11:13:25.2 (2683429)|VARIABLE_ASSIGNMENT|[89]|filter1Value|null
11:13:25.2 (2685226)|VARIABLE_SCOPE_BEGIN|[89]|eventField|String|false|false
11:13:25.2 (2687552)|VARIABLE_ASSIGNMENT|[89]|eventField|null
11:13:25.2 (2689545)|VARIABLE_SCOPE_BEGIN|[89]|column1|String|false|false
11:13:25.2 (2691937)|VARIABLE_ASSIGNMENT|[89]|column1|null
11:13:25.2 (2693766)|VARIABLE_SCOPE_BEGIN|[89]|column2|String|false|false
11:13:25.2 (2696010)|VARIABLE_ASSIGNMENT|[89]|column2|null
11:13:25.2 (2697723)|VARIABLE_SCOPE_BEGIN|[89]|column3|String|false|false
11:13:25.2 (2699818)|VARIABLE_ASSIGNMENT|[89]|column3|null
11:13:25.2 (2701508)|VARIABLE_SCOPE_BEGIN|[89]|column4|String|false|false
11:13:25.2 (2703861)|VARIABLE_ASSIGNMENT|[89]|column4|null
11:13:25.2 (2719299)|HEAP_ALLOCATE|[91]|Bytes:5
11:13:25.2 (2729099)|STATEMENT_EXECUTE|[89]
11:13:25.2 (2733317)|STATEMENT_EXECUTE|[91]
11:13:25.2 (2736772)|HEAP_ALLOCATE|[91]|Bytes:20
11:13:25.2 (2751730)|HEAP_ALLOCATE|[91]|Bytes:21
11:13:25.2 (2787702)|ENTERING_MANAGED_PKG|
