38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
12:55:45.0 (105940)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
12:55:45.1 (1834396)|CODE_UNIT_STARTED|[EXTERNAL]|01pB0000000rehC|FilesViewerServerController.getListRecords
12:55:45.1 (1895461)|VARIABLE_SCOPE_BEGIN|[3]|FilesViewerServerController.mapObjectsFields|Map<String,Set<String>>|true|true
12:55:45.1 (1956333)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:172
12:55:45.1 (1963865)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
12:55:45.1 (1966302)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
12:55:45.1 (1984851)|METHOD_ENTRY|[1]|01pB0000000rehC|FilesViewerServerController.FilesViewerServerController()
12:55:45.1 (1989158)|STATEMENT_EXECUTE|[1]
12:55:45.1 (1996282)|STATEMENT_EXECUTE|[1]
12:55:45.1 (2036208)|HEAP_ALLOCATE|[50]|Bytes:5
12:55:45.1 (2062360)|HEAP_ALLOCATE|[56]|Bytes:5
12:55:45.1 (2070854)|HEAP_ALLOCATE|[64]|Bytes:7
12:55:45.1 (2095751)|SYSTEM_MODE_ENTER|false
12:55:45.1 (2115803)|HEAP_ALLOCATE|[3]|Bytes:5
12:55:45.1 (2120003)|STATEMENT_EXECUTE|[3]
12:55:45.1 (2151346)|VARIABLE_ASSIGNMENT|[3]|FilesViewerServerController.mapObjectsFields|null|
12:55:45.1 (2158218)|SYSTEM_MODE_EXIT|false
12:55:45.1 (2171683)|METHOD_EXIT|[1]|FilesViewerServerController
12:55:45.1 (2177318)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
12:55:45.1 (2179356)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
12:55:45.1 (2184882)|SYSTEM_MODE_ENTER|false
12:55:45.1 (2189723)|VARIABLE_SCOPE_BEGIN|[18]|recordID|String|false|false
12:55:45.1 (2199690)|VARIABLE_ASSIGNMENT|[18]|recordID|"a0MB0000000cQXF"
12:55:45.1 (2202048)|VARIABLE_SCOPE_BEGIN|[18]|rowsLimit|String|false|false
12:55:45.1 (2204893)|VARIABLE_ASSIGNMENT|[18]|rowsLimit|"8"
12:55:45.1 (2218619)|HEAP_ALLOCATE|[20]|Bytes:5
12:55:45.1 (2222485)|STATEMENT_EXECUTE|[18]
12:55:45.1 (2223718)|STATEMENT_EXECUTE|[20]
12:55:45.1 (2226483)|HEAP_ALLOCATE|[20]|Bytes:49
12:55:45.1 (2239278)|HEAP_ALLOCATE|[20]|Bytes:50
12:55:45.1 (2266059)|ENTERING_MANAGED_PKG|
12:55:45.1 (2298183)|USER_DEBUG|[20]|DEBUG|######## FilesViewerServerController: rowsLimit: 8
