37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
13:28:02.0 (115651)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
13:28:02.0 (658065)|HEAP_ALLOCATE|[72]|Bytes:3
13:28:02.0 (725134)|HEAP_ALLOCATE|[77]|Bytes:152
13:28:02.0 (747940)|HEAP_ALLOCATE|[342]|Bytes:408
13:28:02.0 (766385)|HEAP_ALLOCATE|[355]|Bytes:408
13:28:02.0 (783542)|HEAP_ALLOCATE|[467]|Bytes:48
13:28:02.2 (2605803)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
13:28:02.2 (2796342)|STATEMENT_EXECUTE|[1]
13:28:02.2 (2836156)|HEAP_ALLOCATE|[50]|Bytes:5
13:28:02.2 (2863863)|HEAP_ALLOCATE|[56]|Bytes:5
13:28:02.2 (2872895)|HEAP_ALLOCATE|[64]|Bytes:7
13:28:02.2 (2906559)|SYSTEM_MODE_ENTER|false
13:28:02.2 (2928706)|HEAP_ALLOCATE|[3]|Bytes:5
13:28:02.2 (2933409)|STATEMENT_EXECUTE|[3]
13:28:02.2 (2964322)|VARIABLE_ASSIGNMENT|[3]|InterviewsLCServerController.mapObjectsFields|null|
13:28:02.2 (2974497)|SYSTEM_MODE_EXIT|false
13:28:02.2 (2988189)|METHOD_EXIT|[1]|InterviewsLCServerController
13:28:02.2 (2994007)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
13:28:02.2 (2996432)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
13:28:02.2 (3004966)|SYSTEM_MODE_ENTER|false
13:28:02.2 (3012192)|VARIABLE_SCOPE_BEGIN|[89]|rowsLimit|String|false|false
13:28:02.2 (3020739)|VARIABLE_ASSIGNMENT|[89]|rowsLimit|"8"
13:28:02.2 (3023289)|VARIABLE_SCOPE_BEGIN|[89]|objectApiName|String|false|false
13:28:02.2 (3026734)|VARIABLE_ASSIGNMENT|[89]|objectApiName|"Account"
