38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
08:15:10.0 (120253)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
08:15:10.3 (3147330)|CODE_UNIT_STARTED|[EXTERNAL]|01pB0000000lc07|ListServerController.getListRecords
08:15:10.3 (3223218)|VARIABLE_SCOPE_BEGIN|[3]|ListServerController.mapObjectsFields|Map<String,Set<String>>|true|true
08:15:10.3 (3311338)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:180
08:15:10.3 (3324567)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
08:15:10.3 (3338590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:27
08:15:10.3 (3368826)|METHOD_ENTRY|[1]|01pB0000000lc07|ListServerController.ListServerController()
08:15:10.3 (3377665)|STATEMENT_EXECUTE|[1]
08:15:10.3 (3387644)|STATEMENT_EXECUTE|[1]
08:15:10.3 (3438374)|HEAP_ALLOCATE|[50]|Bytes:5
08:15:10.3 (3473389)|HEAP_ALLOCATE|[56]|Bytes:5
08:15:10.3 (3491857)|HEAP_ALLOCATE|[64]|Bytes:7
08:15:10.3 (3531975)|SYSTEM_MODE_ENTER|false
08:15:10.3 (3556246)|HEAP_ALLOCATE|[3]|Bytes:5
08:15:10.3 (3564419)|STATEMENT_EXECUTE|[3]
08:15:10.3 (3608911)|VARIABLE_ASSIGNMENT|[3]|ListServerController.mapObjectsFields|null|
08:15:10.3 (3619394)|SYSTEM_MODE_EXIT|false
08:15:10.3 (3641613)|METHOD_EXIT|[1]|ListServerController
08:15:10.3 (3650756)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
08:15:10.3 (3654711)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
08:15:10.3 (3657265)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
08:15:10.3 (3659660)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:15:10.3 (3662408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
08:15:10.3 (3675159)|SYSTEM_MODE_ENTER|false
08:15:10.3 (3684379)|VARIABLE_SCOPE_BEGIN|[23]|rowsLimit|String|false|false
